x1,x2,x3,t
1.000000,1.000000,1.000000,0.000000
1.012567,1.259918,0.984891,0.010000
1.048824,1.523997,0.973114,0.020000
1.107209,1.798310,0.965159,0.030000
1.186868,2.088540,0.961737,0.040000
1.287557,2.400154,0.963806,0.050000
1.409571,2.738546,0.972608,0.060000
1.553690,3.109154,0.989731,0.070000
1.721146,3.517569,1.017187,0.080000
1.913596,3.969615,1.057512,0.090000
2.133107,4.471411,1.113899,0.100000
2.382146,5.029415,1.190354,0.110000
2.663581,5.650438,1.291893,0.120000
2.980668,6.341615,1.424787,0.130000
3.337045,7.110331,1.596843,0.140000
3.736716,7.964065,1.817757,0.150000
4.184007,8.910141,2.099503,0.160000
4.683507,9.955333,2.456794,0.170000
5.272915,11.166988,2.959556,0.180000
5.894052,12.430227,3.531583,0.190000
6.581567,13.802197,4.245877,0.200000
7.339324,15.278541,5.132805,0.210000
8.170096,16.848159,6.227059,0.220000
9.074913,18.490716,7.567006,0.230000
10.052207,20.173733,9.193146,0.240000
11.096754,21.849494,11.145278,0.250000
12.198435,23.452229,13.457960,0.260000
13.340884,24.896383,16.153946,0.270000
14.500200,26.077175,19.235632,0.280000
15.644015,26.874905,22.675161,0.290000
16.731285,27.164440,26.404860,0.300000
17.713302,26.830543,30.310789,0.310000
18.536310,25.788068,34.233004,0.320000
19.145906,24.003575,37.975836,0.330000
19.492919,21.512609,41.329384,0.340000
19.539888,18.425974,44.099603,0.350000
19.266791,14.920414,46.140164,0.360000
18.674569,11.213949,47.376949,0.370000
17.785454,7.531894,47.817562,0.380000
16.639963,4.073162,47.543385,0.390000
15.291372,0.985866,46.687858,0.400000
13.799045,-1.643053,45.408730,0.410000
12.222095,-3.784799,43.862340,0.420000
10.614402,-5.456670,42.185204,0.430000
9.021477,-6.706449,40.484527,0.440000
7.479084,-7.597606,38.836336,0.450000
6.013271,-8.197759,37.288659,0.460000
4.641292,-8.571043,35.867136,0.470000
3.373005,-8.773945,34.581112,0.480000
2.212398,-8.853699,33.429090,0.490000
1.159034,-8.848303,32.403075,0.500000
0.209313,-8.787426,31.491727,0.510000
-0.642491,-8.693666,30.682508,0.520000
-1.403422,-8.583871,29.963024,0.530000
-2.081230,-8.470346,29.321789,0.540000
-2.683920,-8.361882,28.748606,0.550000
-3.219434,-8.264590,28.234694,0.560000
-3.695442,-8.182565,27.772664,0.570000
-4.119195,-8.118397,27.356419,0.580000
-4.497442,-8.073556,26.981007,0.590000
-4.836391,-8.048686,26.642471,0.600000
-5.141688,-8.043822,26.337696,0.610000
-5.418422,-8.058552,26.064273,0.620000
