x1,x2,x3,l1,l2,l3,t
0.100000,0.100000,0.100000,-65.629331,45.645263,1.833068,0.000000
0.100150,0.107568,0.100187,-65.629245,45.645196,1.833079,0.001000
0.100595,0.115306,0.100376,-65.629159,45.645129,1.833091,0.002000
0.101329,0.123232,0.100565,-65.629072,45.645060,1.833102,0.003000
0.102349,0.131367,0.100756,-65.628984,45.644990,1.833115,0.004000
0.103653,0.139731,0.100948,-65.628895,45.644919,1.833128,0.005000
0.105239,0.148344,0.101141,-65.628805,45.644846,1.833141,0.006000
0.107105,0.157227,0.101336,-65.628715,45.644772,1.833156,0.007000
0.109252,0.166400,0.101531,-65.628623,45.644696,1.833172,0.008000
0.111681,0.175886,0.101729,-65.628531,45.644619,1.833189,0.009000
0.114393,0.185705,0.101928,-65.628438,45.644539,1.833208,0.010000
0.117390,0.195882,0.102128,-65.628344,45.644457,1.833228,0.011000
0.120677,0.206437,0.102330,-65.628250,45.644373,1.833250,0.012000
0.124257,0.217397,0.102534,-65.628154,45.644286,1.833273,0.013000
0.128134,0.228784,0.102740,-65.628058,45.644197,1.833299,0.014000
0.132315,0.240625,0.102948,-65.627960,45.644104,1.833327,0.015000
0.136806,0.252946,0.103158,-65.627862,45.644009,1.833358,0.016000
0.141613,0.265773,0.103371,-65.627762,45.643909,1.833392,0.017000
0.146746,0.279134,0.103587,-65.627661,45.643806,1.833429,0.018000
0.152212,0.293060,0.103805,-65.627559,45.643699,1.833469,0.019000
0.158022,0.307579,0.104026,-65.627456,45.643587,1.833513,0.020000
0.164186,0.322723,0.104251,-65.627351,45.643470,1.833562,0.021000
0.170714,0.338525,0.104479,-65.627245,45.643347,1.833615,0.022000
0.177620,0.355018,0.104712,-65.627137,45.643218,1.833673,0.023000
0.184917,0.372239,0.104949,-65.627027,45.643083,1.833736,0.024000
0.192617,0.390222,0.105190,-65.626916,45.642941,1.833806,0.025000
0.200737,0.409008,0.105436,-65.626802,45.642790,1.833882,0.026000
0.209291,0.428635,0.105688,-65.626686,45.642631,1.833965,0.027000
0.218297,0.449145,0.105947,-65.626568,45.642463,1.834057,0.028000
0.227772,0.470582,0.106211,-65.626447,45.642284,1.834157,0.029000
0.237736,0.492990,0.106483,-65.626323,45.642094,1.834267,0.030000
0.248208,0.516418,0.106763,-65.626196,45.641891,1.834387,0.031000
0.259208,0.540914,0.107051,-65.626065,45.641675,1.834519,0.032000
0.270761,0.566529,0.107349,-65.625931,45.641444,1.834663,0.033000
0.282887,0.593319,0.107656,-65.625793,45.641197,1.834821,0.034000
0.295613,0.621338,0.107975,-65.625650,45.640932,1.834994,0.035000
0.308964,0.650646,0.108306,-65.625502,45.640647,1.835184,0.036000
0.322968,0.681304,0.108651,-65.625349,45.640341,1.835392,0.037000
0.337652,0.713376,0.109009,-65.625190,45.640012,1.835620,0.038000
0.353048,0.746930,0.109384,-65.625025,45.639657,1.835869,0.039000
0.369186,0.782035,0.109776,-65.624853,45.639274,1.836143,0.040000
0.386100,0.818766,0.110187,-65.624673,45.638860,1.836443,0.041000
0.403825,0.857198,0.110619,-65.624485,45.638413,1.836771,0.042000
0.422397,0.897413,0.111074,-65.624288,45.637929,1.837131,0.043000
0.441854,0.939493,0.111553,-65.624081,45.637405,1.837525,0.044000
0.462237,0.983528,0.112060,-65.623863,45.636836,1.837957,0.045000
0.483588,1.029608,0.112597,-65.623633,45.636219,1.838430,0.046000
0.505951,1.077830,0.113166,-65.623391,45.635549,1.838948,0.047000
0.529373,1.128296,0.113770,-65.623134,45.634821,1.839516,0.048000
0.553901,1.181109,0.114414,-65.622861,45.634029,1.840139,0.049000
0.579587,1.236380,0.115101,-65.622572,45.633168,1.840820,0.050000
0.606484,1.294224,0.115834,-65.622264,45.632230,1.841567,0.051000
0.634648,1.354763,0.116619,-65.621936,45.631209,1.842386,0.052000
0.664137,1.418121,0.117459,-65.621585,45.630096,1.843283,0.053000
0.695012,1.484432,0.118361,-65.621210,45.628883,1.844265,0.054000
0.727338,1.553832,0.119331,-65.620808,45.627559,1.845342,0.055000
0.761182,1.626468,0.120374,-65.620377,45.626116,1.846521,0.056000
0.796615,1.702489,0.121497,-65.619914,45.624540,1.847813,0.057000
0.833709,1.782055,0.122709,-65.619415,45.622820,1.849229,0.058000
0.872541,1.865331,0.124018,-65.618879,45.620941,1.850781,0.059000
0.913194,1.952491,0.125433,-65.618300,45.618888,1.852481,0.060000
0.955751,2.043715,0.126963,-65.617675,45.616646,1.854343,0.061000
1.000300,2.139194,0.128621,-65.617000,45.614195,1.856384,0.062000
1.046935,2.239126,0.130418,-65.616269,45.611516,1.858620,0.063000
1.095752,2.343720,0.132367,-65.615478,45.608586,1.861070,0.064000
1.146853,2.453192,0.134484,-65.614620,45.605383,1.863755,0.065000
1.200345,2.567770,0.136783,-65.613690,45.601879,1.866697,0.066000
1.256338,2.687693,0.139282,-65.612680,45.598045,1.869920,0.067000
1.314949,2.813210,0.142001,-65.611583,45.593851,1.873452,0.068000
1.376300,2.944582,0.144961,-65.610391,45.589262,1.877323,0.069000
1.440519,3.082081,0.148184,-65.609094,45.584239,1.881564,0.070000
1.507739,3.225992,0.151695,-65.607682,45.578741,1.886212,0.071000
1.578100,3.376616,0.155522,-65.606145,45.572723,1.891306,0.072000
1.651749,3.534264,0.159695,-65.604471,45.566134,1.896888,0.073000
1.728838,3.699263,0.164248,-65.602646,45.558920,1.903005,0.074000
1.809528,3.871955,0.169215,-65.600656,45.551021,1.909709,0.075000
1.893987,4.052699,0.174638,-65.598485,45.542370,1.917057,0.076000
1.982391,4.241868,0.180559,-65.596117,45.532896,1.925110,0.077000
2.074923,4.439854,0.187026,-65.593531,45.522518,1.933937,0.078000
2.171775,4.647067,0.194091,-65.590709,45.511150,1.943613,0.079000
2.273149,4.863935,0.201810,-65.587626,45.498697,1.954219,0.080000
2.379256,5.090906,0.210248,-65.584258,45.485052,1.965845,0.081000
2.490317,5.328448,0.219471,-65.580578,45.470102,1.978591,0.082000
2.606561,5.577052,0.229555,-65.576556,45.453720,1.992565,0.083000
2.728230,5.837230,0.240583,-65.572159,45.435766,2.007887,0.084000
2.855577,6.109517,0.252643,-65.567353,45.416089,2.024687,0.085000
2.988866,6.394472,0.265835,-65.562096,45.394520,2.043110,0.086000
3.128374,6.692681,0.280266,-65.556348,45.370876,2.063315,0.087000
3.274390,7.004755,0.296055,-65.550060,45.344953,2.085475,0.088000
3.427216,7.331333,0.313331,-65.543181,45.316530,2.109784,0.089000
3.587171,7.673082,0.332236,-65.535656,45.285361,2.136453,0.090000
3.754584,8.030698,0.352924,-65.527421,45.251176,2.165713,0.091000
3.929802,8.404911,0.375567,-65.518411,45.213678,2.197824,0.092000
4.113188,8.796480,0.400349,-65.508550,45.172540,2.233066,0.093000
4.305121,9.206198,0.427475,-65.497758,45.127400,2.271753,0.094000
4.505998,9.634892,0.457167,-65.485945,45.077862,2.314230,0.095000
4.716233,10.083427,0.489670,-65.473016,45.023484,2.360879,0.096000
4.936261,10.552703,0.525251,-65.458863,44.963783,2.412121,0.097000
5.166533,11.043658,0.564203,-65.443370,44.898220,2.468423,0.098000
5.407525,11.557271,0.606845,-65.426410,44.826201,2.530304,0.099000
5.659732,12.094560,0.653529,-65.407843,44.747068,2.598339,0.100000
5.923671,12.656587,0.704636,-65.387515,44.660091,2.673166,0.101000
6.199885,13.244454,0.760588,-65.365261,44.564458,2.755497,0.102000
6.488938,13.859311,0.821843,-65.340897,44.459266,2.846126,0.103000
6.791423,14.502349,0.888902,-65.314223,44.343510,2.945938,0.104000
7.107955,15.174808,0.962315,-65.285020,44.216065,3.055925,0.105000
7.439179,15.877973,1.042683,-65.253048,44.075676,3.177200,0.106000
7.785769,16.613175,1.130661,-65.218044,43.920934,3.311017,0.107000
8.148428,17.381796,1.226967,-65.179724,43.750251,3.458787,0.108000
8.527888,18.185262,1.332384,-65.137771,43.561841,3.622112,0.109000
8.924914,19.025049,1.447771,-65.091845,43.353679,3.802810,0.110000
9.340305,19.902677,1.574061,-65.041570,43.123462,4.002958,0.111000
9.774892,20.819715,1.712277,-64.986537,42.868562,4.224940,0.112000
10.229542,21.777774,1.863534,-64.926299,42.585959,4.471506,0.113000
10.705158,22.778507,2.029049,-64.860367,42.272165,4.745850,0.114000
11.202680,23.823609,2.210149,-64.788207,41.923116,5.051714,0.115000
11.723088,24.914809,2.408282,-64.709237,41.534043,5.393519,0.116000
12.267398,26.053868,2.625023,-64.622823,41.099284,5.776543,0.117000
12.836669,27.242573,2.862093,-64.528270,40.612035,6.207170,0.118000
13.432000,28.482729,3.121359,-64.424824,40.063997,6.693245,0.119000
14.054531,29.776156,3.404858,-64.311662,39.444855,7.244585,0.120000
14.705445,31.124672,3.714801,-64.187888,38.741487,7.873769,0.121000
15.385966,32.530087,4.053590,-64.052527,37.936702,8.597399,0.122000
16.097362,33.994185,4.423834,-63.904518,37.007086,9.438246,0.123000
16.840943,35.518713,4.828359,-63.742710,35.919049,10.429199,0.124000
17.618062,37.105360,5.270231,-63.565852,34.620727,11.621362,0.125000
18.430110,38.755732,5.752763,-63.372589,33.022614,13.103417,0.126000
19.278523,40.471334,6.279536,-63.161453,30.937972,15.061206,0.127000
20.164771,42.253533,6.854416,-62.930854,27.770029,18.090531,0.128000
21.090362,44.103533,7.481566,-62.679079,22.854565,22.854565,0.129000
22.056836,46.022331,8.165464,-62.404279,22.771877,22.771877,0.130000
23.065763,48.010673,8.910917,-62.104463,22.681605,22.681605,0.131000
24.118736,50.069012,9.723073,-61.777497,22.583094,22.583094,0.132000
25.217367,52.197446,10.607430,-61.421093,22.475641,22.475641,0.133000
26.363282,54.395656,11.569847,-61.032810,22.358493,22.358493,0.134000
27.558105,56.662838,12.616546,-60.610049,22.230848,22.230848,0.135000
28.803458,58.997626,13.754111,-60.150058,22.091858,22.091858,0.136000
30.100941,61.398001,14.989480,-59.649933,21.940625,21.940625,0.137000
31.452122,63.861199,16.329932,-59.106628,21.776208,21.776208,0.138000
32.858519,66.383602,17.783060,-58.516966,21.597628,21.597628,0.139000
34.321582,68.960629,19.356738,-57.877663,21.403870,21.403870,0.140000
35.842672,71.586608,21.059069,-57.185351,21.193901,21.193901,0.141000
37.423030,74.254645,22.898320,-56.436617,20.966674,20.966674,0.142000
39.063756,76.956485,24.882839,-55.628047,20.721150,20.721150,0.143000
40.765767,79.682362,27.020946,-54.756281,20.456316,20.456316,0.144000
42.529767,82.420855,29.320800,-53.818083,20.171206,20.171206,0.145000
44.356196,85.158729,31.790242,-52.810422,19.864930,19.864930,0.146000
46.245187,87.880791,34.436599,-51.730554,19.536705,19.536705,0.147000
48.196509,90.569749,37.266458,-50.576128,19.185881,19.185881,0.148000
50.209507,93.206081,40.285398,-49.345279,18.811971,18.811971,0.149000
52.283031,95.767937,43.497684,-48.036728,18.414679,18.414679,0.150000
54.415366,98.231060,46.905919,-46.649870,17.993909,17.993909,0.151000
56.604151,100.568762,50.510658,-45.184839,17.549772,17.549772,0.152000
58.846287,102.751948,54.309970,-43.642548,17.082572,17.082572,0.153000
61.137848,104.749213,58.298985,-42.024694,16.592766,16.592766,0.154000
63.473982,106.527024,62.469398,-40.333718,16.080911,16.080911,0.155000
65.848808,108.050006,66.808968,-38.572732,15.547584,15.547584,0.156000
68.255315,109.281349,71.301012,-36.745415,14.993289,14.993289,0.157000
70.685263,110.183341,75.923933,-34.855894,14.418361,14.418361,0.158000
73.129087,110.718056,80.650787,-32.908619,13.822873,13.822873,0.159000
75.575813,110.848190,85.448944,-30.908267,13.206549,13.206549,0.160000
78.012995,110.538061,90.279868,-28.859673,12.568726,12.568726,0.161000
80.426668,109.754747,95.099064,-26.767803,11.908327,11.908327,0.162000
82.801342,108.469362,99.856228,-24.637774,11.223885,11.223885,0.163000
85.120035,106.658426,104.495663,-22.474893,10.513599,10.513599,0.164000
87.364350,104.305283,108.956973,-20.284745,9.775431,9.775431,0.165000
89.514623,101.401507,113.176088,-18.073260,9.007217,9.007217,0.166000
91.550131,97.948208,117.086621,-15.846789,8.206824,8.206824,0.167000
93.449379,93.957162,120.621555,-13.612147,7.372298,7.372298,0.168000
95.190464,89.451653,123.715220,-11.376629,6.502032,6.502032,0.169000
96.751516,84.466930,126.305512,-9.147980,5.594931,5.594931,0.170000
98.111208,79.050201,128.336242,-6.934327,4.650563,4.650563,0.171000
99.249329,73.260085,129.759502,-4.744063,3.669291,3.669291,0.172000
100.147381,67.165493,130.537907,-2.585703,2.652384,2.652384,0.173000
100.789207,60.843940,130.646545,-0.467710,1.602079,1.602079,0.174000
101.020755,54.380435,129.746078,1.577885,0.507244,0.507244,0.175000
101.112350,47.904099,128.510422,3.581419,-0.593376,-0.593376,0.176000
100.920929,41.460076,126.622558,5.521919,-1.714655,-1.714655,0.177000
100.444915,35.133997,124.115938,7.393069,-2.850759,-2.850759,0.178000
99.687103,29.006582,121.037371,9.189481,-3.995251,-3.995251,0.179000
98.654661,23.151059,117.445224,10.906815,-5.141289,-5.141289,0.180000
97.358973,17.631030,113.407107,12.541838,-6.281851,-6.281851,0.181000
95.815309,12.498875,108.997203,14.092461,-7.409954,-7.409954,0.182000
94.042360,7.794797,104.293434,15.557722,-8.518886,-8.518886,0.183000
92.061654,3.546495,99.374644,16.937744,-9.602400,-9.602400,0.184000
89.896898,-0.230554,94.317980,18.233655,-10.654889,-10.654889,0.185000
87.573280,-3.532291,89.196602,19.447490,-11.671517,-11.671517,0.186000
85.116772,-6.364866,84.077819,20.582064,-12.648306,-12.648306,0.187000
82.553466,-8.743146,79.021720,21.640843,-13.582184,-13.582184,0.188000
79.908975,-10.689059,74.080287,22.627805,-14.470979,-14.470979,0.189000
77.207918,-12.229911,69.296973,23.547301,-15.313393,-15.313393,0.190000
74.473503,-13.396756,64.706700,24.403914,-16.108921,-16.108921,0.191000
71.727202,-14.222908,60.336177,-16.857772,-16.857772,25.202332,0.192000
68.988540,-14.742635,56.204488,-17.560753,-17.560753,25.947224,0.193000
66.274958,-14.990064,52.323845,-18.219155,-18.219155,26.643126,0.194000
63.601772,-14.998311,48.700452,-18.834635,-18.834635,27.294342,0.195000
60.982187,-14.798823,45.335407,-19.409095,-19.409095,27.904855,0.196000
58.427374,-14.420908,42.225593,-19.944580,-19.944580,28.478255,0.197000
55.946582,-13.891444,39.364527,-20.443180,-20.443180,29.017684,0.198000
53.547280,-13.234722,36.743135,-20.906947,-20.906947,29.525796,0.199000
51.235317,-12.472409,34.350444,-21.337837,-21.337837,30.004746,0.200000
49.015088,-11.623587,32.174178,-21.737660,-21.737660,30.456189,0.201000
46.889710,-10.704875,30.201264,-22.108055,-22.108055,30.881313,0.202000
44.861178,-9.730570,28.418248,-22.450478,-22.450478,31.280876,0.203000
42.930531,-8.712839,26.811633,-22.766206,-22.766206,31.655274,0.204000
41.097994,-7.661906,25.368137,-23.056352,-23.056352,32.004606,0.205000
39.363113,-6.586252,24.074893,-23.321883,-23.321883,32.328750,0.206000
37.724878,-5.492811,22.919597,-23.563647,-23.563647,32.627430,0.207000
36.181831,-4.387153,21.890605,-23.782394,-23.782394,32.900285,0.208000
34.732159,-3.273658,20.977001,-23.978797,-23.978797,33.146914,0.209000
33.373778,-2.155674,20.168627,-24.153465,-24.153465,33.366910,0.210000
32.104408,-1.035662,19.456102,-24.306955,-24.306955,33.559886,0.211000
30.921630,0.084678,18.830808,-27.883067,-20.996476,33.725473,0.212000
29.822937,1.204291,18.284881,-35.168503,-13.936229,33.863314,0.213000
28.805785,2.322667,17.811178,-38.899056,-10.391204,33.973049,0.214000
27.867620,3.439756,17.403244,-41.582546,-7.854216,34.054282,0.215000
27.005916,4.555889,17.055279,-43.677594,-5.867113,34.106553,0.216000
26.218192,5.671719,16.762094,-45.377437,-4.236924,34.129296,0.217000
25.502038,6.788159,16.519075,-46.787262,-2.858486,34.121800,0.218000
24.855128,7.906337,16.322142,-47.972724,34.083160,-1.665893,0.219000
24.275229,9.027559,16.167713,-48.978457,34.012228,-0.613937,0.220000
23.760216,10.153267,16.052665,-49.836618,33.907552,0.330492,0.221000
23.337986,11.289449,15.992017,-50.538112,33.745416,1.184419,0.222000
22.945971,12.429729,15.947660,-51.170703,33.566865,1.988463,0.223000
22.613212,13.579404,15.935848,-51.712954,33.347513,2.748176,0.224000
22.338049,14.740229,15.954990,-52.176847,33.083796,3.478850,0.225000
22.118943,15.913992,16.003818,-52.572154,32.771253,4.194512,0.226000
21.954476,17.102502,16.081364,-52.906913,32.404258,4.908673,0.227000
21.843350,18.307574,16.186943,-53.187790,31.975630,5.635071,0.228000
21.784385,19.531022,16.320135,-53.420328,31.476031,6.388518,0.229000
21.776513,20.774646,16.480774,-53.609144,30.893016,7.186053,0.230000
21.818782,22.040225,16.668935,-53.758086,30.209404,8.048712,0.231000
21.910347,23.329506,16.884927,-53.870344,29.400292,9.004640,0.232000
22.050471,24.644195,17.129282,-53.948545,28.426946,10.095284,0.233000
22.238517,25.985951,17.402751,-53.994832,27.222249,11.390023,0.234000
22.473946,27.356368,17.706298,-54.010922,25.646313,13.030617,0.235000
